left_compound,right_compound,left_smiles,right_smiles,tanimoto_similarity,left_pchembl,right_pchembl,delta_pchembl,left_label,right_label
CHEMBL314052,CHEMBL432190,CCCCCCN1C(=O)N(CCCCCC)[C@H](Cc2ccccc2)[C@H](O)[C@@H](O)[C@H]1Cc1ccccc1,CCCCCCCN1C(=O)N(CCCCCCC)[C@H](Cc2ccccc2)[C@H](O)[C@@H](O)[C@H]1Cc1ccccc1,1.0,8.34,6.58,1.7599999999999998,1.0,1.0
CHEMBL178605,CHEMBL181347,Cc1ccc(S(=O)(=O)N(CC(C)C)[C@H](CCCCNC(=O)OCC2c3ccccc3-c3ccccc32)C(=O)O)cc1,CC(C)CN([C@@H](CCCCNC(=O)OCC1c2ccccc2-c2ccccc21)C(=O)O)S(=O)(=O)c1ccccc1,0.9032258064516129,9.48,7.73,1.75,1.0,1.0
CHEMBL3350055,CHEMBL106486,CC(C)[C@H](NC(=O)OCc1ccccn1)C(=O)N[C@@H](Cc1ccccc1)[C@H](O)[C@H](O)[C@H](Cc1ccccc1)NC(=O)[C@@H](NC(=O)OCc1ccccn1)C(C)C,CC(C)[C@H](NC(=O)OCc1ccccn1)C(=O)N[C@@H](Cc1ccccc1)C(O)[C@H](Cc1ccccc1)NC(=O)[C@H](NC(=O)OCc1ccccn1)C(C)C,0.96,10.05,8.32,1.7300000000000004,1.0,1.0
CHEMBL125448,CHEMBL126166,O=C(O)CCCCC1(c2ccccc2)CC(=O)C(SCCc2ccccc2)=C(O)O1,O=C(O)CCCC1(c2ccccc2)CC(=O)C(SCCc2ccccc2)=C(O)O1,0.9387755102040817,8.3,6.57,1.7300000000000004,1.0,1.0
CHEMBL335073,CHEMBL3350214,COC(=O)[C@@H](NC(=O)[C@H](CC(C)C)NC(=O)[C@@H]1CCCN1C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)[C@H](CC(N)=O)NC(=O)OC(C)(C)C)C(C)C,COC(=O)[C@@H](NC(=O)[C@H](CC(C)C)NC(=O)[C@@H]1CCCN1C[C@H](O)[C@H](Cc1ccccc1)NC(=O)[C@H](CC(N)=O)NC(=O)OC(C)(C)C)C(C)C,1.0,7.8,6.07,1.7299999999999995,1.0,
CHEMBL3349554,CHEMBL3349553,CC[C@H](C)[C@H](NC(=O)[C@@H]1CCCN1C[C@H](O)[C@H](Cc1ccccc1)NC(=O)[C@H](CC(N)=O)NC(=O)OC(C)(C)C)C(=O)N[C@H](C(=O)OC)C(C)C,CC[C@H](C)[C@H](NC(=O)[C@@H]1CCCN1C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)[C@H](CC(N)=O)NC(=O)OC(C)(C)C)C(=O)N[C@H](C(=O)OC)C(C)C,1.0,7.8,6.07,1.7299999999999995,1.0,
CHEMBL330693,CHEMBL95137,CC(C)(C)NC(=O)c1c(CC[C@H](O)Cc2ccc3ccccc3c2C(=O)NC(C)(C)C)ccc2ccccc12,CC(C)(C)NC(=O)c1c(CC[C@@H](O)Cc2ccc3ccccc3c2C(=O)NC(C)(C)C)ccc2ccccc12,1.0,6.32,4.6,1.7200000000000006,,0.0
CHEMBL342576,CHEMBL21291,O=C1N(Cc2ccccc2)[C@@H](Cc2ccccc2)[C@H](O)[C@H](O)[C@H](Cc2ccccc2)N1Cc1ccccc1,O=C1N(Cc2ccccc2)[C@@H](Cc2ccccc2)C(O)[C@H](Cc2ccccc2)N1Cc1ccccc1,0.9333333333333333,5.77,4.05,1.7199999999999998,,0.0
CHEMBL438804,CHEMBL198534,CC(C)[C@H](NC(=O)OCc1ccccc1)C(=O)NN(Cc1ccc(Br)cc1)C[C@@](O)(Cc1ccccc1)C(=O)N[C@H]1c2ccccc2C[C@H]1O,CC(C)[C@H](NC(=O)OCc1ccccc1)C(=O)NN(Cc1ccccc1)C[C@](O)(Cc1ccccc1)C(=O)N[C@H]1c2ccccc2C[C@H]1O,0.9178082191780822,7.77,6.06,1.71,1.0,
CHEMBL168640,CHEMBL378214,COC(=O)N[C@H](C(=O)NCCCC[C@@H](CO)N(CC(C)C)S(=O)(=O)c1ccc(N)cc1)C(c1ccccc1)c1ccccc1,COC(=O)N[C@H](C(=O)NCCCC[C@H](CO)N(CC(C)C)S(=O)(=O)c1ccc(N)cc1)C(c1ccccc1)c1ccccc1,1.0,9.3,7.6,1.700000000000001,1.0,1.0
