left_compound,right_compound,left_smiles,right_smiles,tanimoto_similarity,left_pchembl,right_pchembl,delta_pchembl,left_label,right_label
CHEMBL2115564,CHEMBL78534,CCCc1cnc([C@H](Cc2ccccc2)C[C@H](O)[C@H](Cc2ccccc2)NC(=O)OC(C)(C)C)s1,CCCCc1cnc([C@H](Cc2ccccc2)C[C@H](O)[C@H](Cc2ccccc2)NC(=O)OC(C)(C)C)s1,0.9,6.16,4.58,1.58,,0.0
CHEMBL331105,CHEMBL121036,COc1ccc(S(=O)(=O)N(CC2CCCC2)C[C@@H](O)CN(CCc2ccccc2)C(=O)OC2CCS(=O)(=O)C2)cc1,COc1ccc(S(=O)(=O)N(CC2CCCC2)C[C@@H](O)CN(CCc2ccccc2)C(=O)OC2CCCS(=O)(=O)C2)cc1,0.9285714285714286,7.42,5.85,1.5700000000000003,1.0,
CHEMBL359756,CHEMBL425700,Cc1ccc(S(=O)(=O)N(CC(C)C)[C@@H](CCCCNC(=O)OCC2c3ccccc3-c3ccccc32)C(=O)O)cc1,Cc1ccc(S(=O)(=O)N(CC(C)C)[C@@H](CCCNC(=O)OCC2c3ccccc3-c3ccccc32)C(=O)O)cc1,0.9516129032258065,8.3,6.75,1.5500000000000007,1.0,1.0
CHEMBL124770,CHEMBL332554,CNC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](OCc1ccccc1)[C@H](O)[C@@H](O)[C@@H](OCc1ccccc1)C(=O)N[C@@H](Cc1ccccc1)C(=O)NC,CNC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@H](OCc1ccccc1)[C@H](O)[C@@H](O)[C@@H](OCc1ccccc1)C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)NC,0.9069767441860465,6.85,5.3,1.5499999999999998,1.0,0.0
CHEMBL357785,CHEMBL356211,CN(C(=O)[C@H](OCc1ccccc1)[C@H](O)[C@@H](O)[C@@H](OCc1ccccc1)C(=O)N(C)C(Cc1ccccc1)C(=O)O)C(Cc1ccccc1)C(=O)O,CN(C(=O)[C@H](OCc1ccccc1)[C@H](O)[C@@H](O)[C@@H](OCc1ccccc1)C(=O)N(C)C(Cc1ccc(O)cc1)C(=O)O)C(Cc1ccc(O)cc1)C(=O)O,0.9047619047619048,6.85,5.3,1.5499999999999998,1.0,0.0
CHEMBL280303,CHEMBL16399,Cn1cnc(S(=O)(=O)Nc2cccc([C@@H](c3c(O)c4c(oc3=O)CCCCCC4)C3CC3)c2)c1,Cn1cnc(S(=O)(=O)Nc2cccc(C(c3c(O)c4c(oc3=O)CCCCCC4)C3CC3)c2)c1,1.0,10.35,8.8,1.549999999999999,1.0,1.0
CHEMBL3349486,CHEMBL2311136,CC[C@H](C)[C@H](NC(=O)C1CCCN1C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CO)NC(C)=O)C(=O)N[C@H](C(=O)OC)C(C)C,CC[C@@H](C)[C@H](NC(=O)[C@@H]1CCCN1C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](CC(C)C)NC(C)=O)C(=O)N[C@H](C(=O)OC)C(C)C,0.9529411764705882,9.22,7.68,1.540000000000001,1.0,1.0
CHEMBL432614,CHEMBL2311136,CC[C@H](C)[C@H](NC(=O)[C@@H]1CCCN1CC(O)[C@H](Cc1ccccc1)NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CO)NC(C)=O)C(=O)N[C@H](C(=O)OC)C(C)C,CC[C@@H](C)[C@H](NC(=O)[C@@H]1CCCN1C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](CC(C)C)NC(C)=O)C(=O)N[C@H](C(=O)OC)C(C)C,0.9529411764705882,9.22,7.68,1.540000000000001,1.0,1.0
CHEMBL3350055,CHEMBL109371,CC(C)[C@H](NC(=O)OCc1ccccn1)C(=O)N[C@@H](Cc1ccccc1)[C@H](O)[C@H](O)[C@H](Cc1ccccc1)NC(=O)[C@@H](NC(=O)OCc1ccccn1)C(C)C,CC(C)[C@H](NC(=O)OCc1ccccn1)C(=O)N[C@@H](Cc1ccccc1)[C@@H](O)[C@H](Cc1ccccc1)NC(=O)[C@H](NC(=O)OCc1ccccc1)C(C)C,0.9230769230769231,10.05,8.52,1.5300000000000011,1.0,1.0
CHEMBL325731,CHEMBL325673,CC(C)[C@H](NS(=O)(=O)N(C)Cc1ccccn1)C(=O)N[C@@H](Cc1ccccc1)[C@H](O)[C@H](O)[C@H](Cc1ccccc1)NC(=O)[C@H](NS(=O)(=O)N(C)Cc1ccccn1)C(C)C,CC(C)[C@H](NS(=O)(=O)N(C)Cc1ccccn1)C(=O)N[C@@H](Cc1ccccc1)C(O)[C@H](Cc1ccccc1)NC(=O)[C@H](NS(=O)(=O)N(C)Cc1ccccn1)C(C)C,0.9622641509433962,7.42,5.89,1.5300000000000002,1.0,
CHEMBL262702,CHEMBL278823,CC(C)[C@H](COCc1ccccc1)NC(=O)C(F)(F)C(=O)C(Cc1ccc(OCc2ccccc2)cc1)NC(=O)[C@H](NC(=O)OCc1ccccc1)C(C)C,CC(C)[C@@H](COCc1ccccc1)NC(=O)C(F)(F)C(=O)C(Cc1ccc(OCc2ccccc2)cc1)NC(=O)[C@H](NC(=O)OCc1ccccc1)C(C)C,1.0,7.22,5.7,1.5199999999999996,1.0,
CHEMBL3349498,CHEMBL1790971,CC[C@H](C)[C@H](NC(=O)C1CCCN1C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)[C@H](CC(N)=O)NC(=O)OCc1ccccc1)C(=O)N[C@H](C(=O)OC)C(C)C,CC[C@H](C)[C@H](NC(=O)[C@@H]1CCCN1CC(O)[C@H](Cc1ccccc1)NC(=O)[C@H](CC(N)=O)NC(=O)OCc1ccccc1)C(=O)N[C@H](C(=O)OC)C(C)C,1.0,8.01,6.5,1.5099999999999998,1.0,1.0
CHEMBL3350200,CHEMBL2304142,CC[C@H](C)[C@H](NC(=O)[C@H](CC(C)C)C(O)C(O)[C@H](CC(C)C)NC(=O)[C@H](Cc1c[nH]cn1)NC(=O)COc1cccc2ccccc12)C(=O)NCc1ccccn1,CC[C@@H](C)[C@H](NC(=O)[C@@H](CC(C)C)C(O)C(O)[C@H](CC(C)C)NC(=O)C(Cc1c[nH]cn1)NC(=O)COc1cccc2ccccc12)C(=O)NCc1ccccn1,1.0,7.8,6.3,1.5,1.0,
CHEMBL21188,CHEMBL118006,CCCC1(CCc2ccccc2)CC(=O)C(C(CC)c2cccc(NS(=O)(=O)c3cn(C)cn3)c2)=C(O)O1,CCCC1(CCC)CC(=O)C(C(CC)c2cccc(NS(=O)(=O)c3cn(C)cn3)c2)=C(O)O1,0.9014084507042254,8.92,7.42,1.5,1.0,1.0
