context,model,uses_smote,trial,threshold,accuracy,roc_auc,pr_auc,precision,recall,f1,mcc,brier,params
outer_fold_1,Dummy Prior,False,1,0.4999999999999944,0.3678373382624769,0.5013162739322533,0.8967324785673301,0.8972222222222223,0.33298969072164947,0.4857142857142857,0.0017019676675544685,0.25000000000000544,{}
outer_fold_1,Logistic Regression,False,1,0.9240215336865908,0.8026802218114603,0.8158010401325478,0.9703564959377978,0.9565479782739892,0.8170103092783505,0.8812899638587712,0.3564305613125549,0.09524203794233731,"{""model__C"": 0.04130326560621433}"
outer_fold_1,Logistic Regression,False,2,0.9242986023764772,0.8026802218114603,0.8156859812223859,0.9703426622932496,0.9565479782739892,0.8170103092783505,0.8812899638587712,0.3564305613125549,0.09534866518356563,"{""model__C"": 0.04217222981598253}"
outer_fold_1,Linear SVC,False,2,0.4506732533169665,0.8733826247689463,0.7734685659057438,0.9595906972308734,0.9258691206543967,0.9335051546391753,0.9296714579055442,0.2957697234437702,0.10575107561970917,"{""model__C"": 1.1770966581859459}"
outer_fold_1,Linear SVC,False,1,0.6480256978343385,0.822550831792976,0.764613632179676,0.9582698332711939,0.9385569334836528,0.8582474226804123,0.8966074313408724,0.2945361063177289,0.10184492948842833,"{""model__C"": 9.40435867926559}"
outer_fold_1,Random Forest,False,2,0.49469865449342587,0.8197781885397413,0.8404201951399116,0.9735921689691673,0.9668674698795181,0.8273195876288659,0.8916666666666667,0.4192926414283084,0.13611906454141726,"{""max_depth"": 24, ""max_features"": 0.35, ""min_samples_leaf"": 1, ""min_samples_split"": 3, ""n_estimators"": 101}"
outer_fold_1,Random Forest,False,1,0.3357453969210551,0.8146950092421442,0.8316780191458026,0.972209291044106,0.9605026929982047,0.8273195876288659,0.8889504292439767,0.3868805663804455,0.17845804714141802,"{""max_depth"": 16, ""max_features"": 0.35, ""min_samples_leaf"": 1, ""min_samples_split"": 6, ""n_estimators"": 148}"
outer_fold_1,Extra Trees,False,1,0.048273206131131716,0.8211645101663586,0.8024852724594992,0.969622814633257,0.9496236247828604,0.845360824742268,0.8944641396236706,0.3467558087344156,0.25612902299938906,"{""max_depth"": 20, ""max_features"": 0.5, ""min_samples_leaf"": 3, ""min_samples_split"": 5, ""n_estimators"": 108}"
outer_fold_1,Extra Trees,False,2,0.04869543838962203,0.7911275415896488,0.7788234075846832,0.966407662700829,0.9487334137515079,0.8108247422680412,0.8743746525847693,0.3104543023522981,0.32849297495275215,"{""max_depth"": 12, ""max_features"": 0.35, ""min_samples_leaf"": 3, ""min_samples_split"": 8, ""n_estimators"": 142}"
outer_fold_1,Extra Trees + SMOTE,True,1,0.6595498152133089,0.9071164510166358,0.8892822625184095,0.9843411196434523,0.9598096245372819,0.9355670103092784,0.9475332811276429,0.547077650261478,0.06475067260636916,"{""max_depth"": 20, ""max_features"": 0.35, ""min_samples_leaf"": 3, ""min_samples_split"": 6, ""n_estimators"": 147}"
outer_fold_1,Extra Trees + SMOTE,True,2,0.700933829105073,0.8904805914972274,0.8845257271723121,0.9828112612656028,0.9625203693644758,0.9134020618556701,0.9373181697963502,0.5175055282397871,0.06608891436253626,"{""max_depth"": 28, ""max_features"": 0.5, ""min_samples_leaf"": 1, ""min_samples_split"": 6, ""n_estimators"": 198}"
outer_fold_1,Gradient Boosting,False,1,0.4801526335255769,0.9126617375231053,0.8742060935198821,0.981049634429673,0.9478260869565217,0.9551546391752578,0.9514762516046213,0.5154332446641595,0.07193222499884441,"{""learning_rate"": 0.12166497827942464, ""max_depth"": 6, ""min_samples_leaf"": 18, ""n_estimators"": 134, ""subsample"": 0.85}"
