split,model,rmse,mae,r2
scaffold,HistGradientBoostingRegressor,0.9978723406496006,0.7297652538428249,0.5835719200875344
scaffold,Random Forest Regressor,1.0126673320792192,0.7618027087648491,0.5711320054045783
scaffold,Extra Trees Regressor,1.0132053160769972,0.7481106422411877,0.5706762083277999
temporal,HistGradientBoostingRegressor,1.4137971828040947,1.1323392804376082,0.23159682750522348
