stage,model,champion_model,primary_metric,accuracy_mean,accuracy_std,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,mcc_mean,mcc_std,brier_mean,brier_std,threshold_mean,threshold_std,calibration_method,accuracy,roc_auc,pr_auc,precision,recall,f1,mcc,brier,threshold,split
nested_cv_summary,Extra Trees + SMOTE,True,mcc,0.9161982513137321,0.01478486128778672,0.9199881398269493,0.0006443847851683721,0.9860884116956349,0.0009285353231588032,0.9596794141948427,0.018415252276089467,0.947059170861191,0.037437868533328755,0.9527833591622968,0.009549934819795922,0.5840161100295926,0.010880816408087518,0.05341870183675267,0.002594922525382038,0.6910430839002268,0.16944045205663605,isotonic,,,,,,,,,,
nested_cv_summary,Gradient Boosting,False,mcc,0.9239043092565175,0.0037979738673339838,0.9072920492282686,0.006129845568341289,0.983554970539443,0.001118996428134439,0.952509227478688,0.007891608324486087,0.9632273830063577,0.00775377605927113,0.9577987808490808,0.002059082390372006,0.5723818422870312,0.03557200392524651,0.05601756944919611,0.0040492366058889305,0.5858585858585859,0.14871143297308542,isotonic,,,,,,,,,,
nested_cv_summary,Logistic Regression,False,mcc,0.8853927881921443,0.012192170956762127,0.8602487364944985,0.016134377201827744,0.9749940119711847,0.004234496851704721,0.9506361804636114,0.0026473323584470985,0.9199244800639576,0.013123686864774456,0.9349994236793001,0.0073415318738371815,0.45591819038019743,0.034252396658861796,0.06869342215884837,0.0044112621641478325,0.797641847436649,0.05231659967993161,isotonic,,,,,,,,,,
nested_cv_summary,Random Forest,False,mcc,0.8043454846108234,0.08436751949474473,0.8570968416170682,0.03979637040380536,0.9768148648689411,0.006394846603161265,0.955280796897168,0.01238120892712948,0.8212607592820976,0.11051619244826093,0.8800744509894738,0.05818886031159197,0.36912268470721665,0.054807819564093814,0.07346827314752975,0.0053931843217056175,0.7886574074074074,0.07753040190895834,isotonic,,,,,,,,,,
nested_cv_summary,Linear SVC,False,mcc,0.8413493560866163,0.029490614146082162,0.793152394417305,0.02164865604130294,0.9611673156214756,0.005737955112700376,0.9442259949344037,0.012750235371345698,0.8752640014617299,0.04730847942329933,0.9077720917622392,0.01970842991400469,0.34720287807780187,0.03401242983603548,0.07836795167666345,0.0006092097508713766,0.8638245812158857,0.02050335526931291,isotonic,,,,,,,,,,
nested_cv_summary,Extra Trees,False,mcc,0.8379543533190826,0.12219334055632976,0.8053253654902083,0.08965572661029204,0.9642657412045957,0.01611973648721474,0.9320924602519028,0.008364097391072581,0.8845403147356962,0.15369034795916997,0.9024695298176519,0.08262847592769912,0.34271281190226716,0.12239155884295444,0.07671392299507106,0.011342729563313558,0.767240807115359,0.12299384573071741,isotonic,,,,,,,,,,
nested_cv_summary,Dummy Prior,False,mcc,0.8964879262677892,9.566739181217934e-05,0.5,0.0,0.8964879262677892,9.566739181217934e-05,0.8964879262677892,9.566739181217934e-05,1.0,0.0,0.9454190687473648,5.319781401318722e-05,0.0,0.0,0.09279765984331116,7.56970323269852e-05,0.8970385781065393,0.00031808093887391903,isotonic,,,,,,,,,,
external_validation,Extra Trees,False,mcc,,,,,,,,,,,,,,,,,,,isotonic,0.9322660098522167,0.8728618820292904,0.9776289223824735,0.9386422976501305,0.9889958734525447,0.9631614199598124,0.5774632310382647,0.06290265637927289,0.71,scaffold_external
external_validation,Extra Trees + SMOTE,True,mcc,,,,,,,,,,,,,,,,,,,isotonic,0.9298029556650246,0.8831782506675299,0.9782461260085503,0.9431216931216931,0.9807427785419532,0.961564396493594,0.5737038105058203,0.057922364703182044,0.5,scaffold_external
external_validation,Gradient Boosting,False,mcc,,,,,,,,,,,,,,,,,,,isotonic,0.9125615763546798,0.9087790274294035,0.9834982213389316,0.9530386740331491,0.9491059147180193,0.9510682288077188,0.540781929327759,0.0547046803142305,0.7213114754098361,scaffold_external
external_validation,Logistic Regression,False,mcc,,,,,,,,,,,,,,,,,,,isotonic,0.9088669950738916,0.8576017477142162,0.9725000192069505,0.9466484268125855,0.951856946354883,0.9492455418381345,0.5036766599092575,0.06721420993714923,0.7272727272727273,scaffold_external
external_validation,Random Forest,False,mcc,,,,,,,,,,,,,,,,,,,isotonic,0.8226600985221675,0.8686058742616716,0.9795063690971555,0.9664,0.8308115543328748,0.893491124260355,0.42446783047507963,0.07304964208480419,0.8061224489795918,scaffold_external
external_validation,Linear SVC,False,mcc,,,,,,,,,,,,,,,,,,,isotonic,0.9014778325123153,0.8212638562990533,0.962240453398131,0.9250985545335085,0.9683631361760661,0.946236559139785,0.3757399217650917,0.07310935174477542,0.5,scaffold_external
external_validation,Dummy Prior,False,mcc,,,,,,,,,,,,,,,,,,,isotonic,0.10467980295566502,0.5,0.895320197044335,0.0,0.0,0.0,0.0,0.09372202740763343,0.8972222222222223,scaffold_external
